DATE,TIME,TIMESTAMP,DID,MODE,ANGLE
2021-08-29,10:53:54,1630234361,A676201329,MANUAL,0.3
2021-08-29,10:53:55,1630234356,A676211330,MANUAL,-0.4
2021-08-29,10:53:56,1630234356,A676221331,MANUAL,0.0
2021-08-29,10:53:57,1630234357,A676231332,MANUAL,-0.0
2021-08-29,10:53:59,1630234357,A676241333,MANUAL,0.0
2021-08-29,10:54:00,1630234358,A676251334,MANUAL,0.6
2021-08-29,10:54:01,1630234354,A676261335,MANUAL,0.7
2021-08-29,10:54:03,1630234355,A676271336,MANUAL,0.2
2021-08-29,10:54:04,1630234356,A676281337,MANUAL,-0.1
2021-08-29,10:54:06,1630234357,A676291338,MANUAL,0.1
2021-08-29,10:54:14,1630234321,A676311340,MANUAL,-0.3
2021-08-29,10:54:15,1630234321,A676321341,MANUAL,0.1
2021-08-29,10:54:16,1630234322,A676331342,MANUAL,0.0
2021-08-29,10:54:18,1630234322,A676341343,MANUAL,0.2
2021-08-29,10:54:19,1630234323,A676351344,MANUAL,0.2
2021-08-29,10:54:20,1630234321,A676361345,MANUAL,-0.0
2021-08-29,10:54:21,1630234322,A676371346,MANUAL,4.0
2021-08-29,10:54:26,1630234323,A676391348,MANUAL,0.4
2021-08-29,10:54:27,1630234272,A676401349,MANUAL,0.0
2021-08-29,10:54:28,1630234320,A676411350,MANUAL,-0.6
2021-08-29,10:54:29,1630234321,A676421351,MANUAL,-0.0
2021-08-29,10:54:30,1630234321,A676431352,MANUAL,2.1
2021-08-29,10:54:31,1630234322,A676441353,MANUAL,0.1
2021-08-29,10:54:32,1630234322,A676451354,MANUAL,-0.5
2021-08-29,10:54:34,1630234321,A676461355,MANUAL,0.6
2021-08-29,10:54:35,1630234322,A676471356,MANUAL,0.0
2021-08-29,10:54:36,1630234322,A676481357,MANUAL,-0.2
2021-08-29,10:54:37,1630234323,A676491358,MANUAL,-1.7
2021-08-29,10:54:38,1630234324,A676501359,MANUAL,0.2
2021-08-29,10:54:39,1630234317,A676511360,MANUAL,0.0
2021-08-29,10:54:41,1630234317,A676521361,MANUAL,-0.0
2021-08-29,10:54:42,1630234318,A676531362,MANUAL,-0.4
2021-08-29,10:54:43,1630234318,A676541363,MANUAL,0.2
2021-08-29,10:54:44,1630234319,A676551364,MANUAL,-0.0
2021-08-29,10:54:45,1630234318,A676561365,MANUAL,1.2
2021-08-29,10:54:47,1630234319,A676571366,MANUAL,0.5
2021-08-29,10:54:48,1630234319,A676581367,MANUAL,-0.0
2021-08-29,10:54:49,1630234319,A676591368,MANUAL,-0.4
2021-08-29,10:54:51,1630234320,A676601369,MANUAL,-0.0
2021-08-29,10:54:52,1630234290,A676611370,MANUAL,0.1
2021-08-29,10:54:54,1630234484,A676621371,MANUAL,-0.3
2021-08-29,11:01:57,1630234904,A675921301,MANUAL,0.0
